boro_code,ct2010,crashes_total,prob_per_killed_total,prob_per_injured_total,prob_ped_killed_total,prob_ped_injured_total,prob_cyclist_killed_total,prob_cyclist_injured_total,prob_motorist_killed_total,prob_motorist_injured_total
3,068200,363,0.0,0.18732782369146006,0.0,0.030303030303030304,0.0,0.013774104683195593,0.0,0.14325068870523416
3,068600,269,0.0,0.1895910780669145,0.0,0.06319702602230483,0.0,0.01486988847583643,0.0,0.11152416356877323
3,068800,294,0.0,0.22108843537414966,0.0,0.05442176870748299,0.0,0.034013605442176874,0.0,0.1292517006802721
3,069000,104,0.0,0.2980769230769231,0.0,0.057692307692307696,0.0,0.009615384615384616,0.0,0.22115384615384615
3,069200,708,0.00423728813559322,0.2288135593220339,0.002824858757062147,0.062146892655367235,0.0,0.014124293785310734,0.0014124293785310734,0.15112994350282485
3,069601,487,0.0,0.21560574948665298,0.0,0.053388090349075976,0.0,0.018480492813141684,0.0,0.14168377823408623
3,069602,556,0.0,0.18165467625899281,0.0,0.046762589928057555,0.0,0.014388489208633094,0.0,0.11870503597122302
3,069800,801,0.0,0.1735330836454432,0.0,0.04868913857677903,0.0,0.0149812734082397,0.0,0.10986267166042447
3,070000,158,0.0,0.20253164556962025,0.0,0.05063291139240506,0.0,0.012658227848101266,0.0,0.13924050632911392
3,070201,304,0.003289473684210526,0.16776315789473684,0.0,0.039473684210526314,0.0,0.009868421052631578,0.003289473684210526,0.11842105263157894
3,070202,518,0.0,0.24903474903474904,0.0,0.011583011583011582,0.0,0.017374517374517374,0.0,0.22007722007722008
3,070600,147,0.0,0.14285714285714285,0.0,0.047619047619047616,0.0,0.02040816326530612,0.0,0.08163265306122448
3,072000,410,0.0024390243902439024,0.24634146341463414,0.0,0.04390243902439024,0.0,0.012195121951219513,0.0024390243902439024,0.18536585365853658
3,072200,1181,0.000846740050804403,0.2802709568162574,0.0,0.09568162574089754,0.0,0.011854360711261643,0.000846740050804403,0.1727349703640982
3,072400,1274,0.0015698587127158557,0.29748822605965464,0.0007849293563579278,0.04081632653061224,0.0,0.018838304552590265,0.0007849293563579278,0.23626373626373626
3,072600,180,0.0,0.25,0.0,0.03888888888888889,0.0,0.016666666666666666,0.0,0.2
3,072800,255,0.00392156862745098,0.2627450980392157,0.0,0.043137254901960784,0.00392156862745098,0.011764705882352941,0.0,0.20392156862745098
3,073000,671,0.0,0.29210134128166915,0.0,0.05514157973174367,0.0,0.019374068554396422,0.0,0.21609538002980627
3,073200,456,0.0021929824561403508,0.25,0.0,0.021929824561403508,0.0,0.013157894736842105,0.0021929824561403508,0.21052631578947367
3,073400,224,0.0,0.23660714285714285,0.0,0.0625,0.0,0.013392857142857142,0.0,0.16071428571428573
