boro_code,ct2010,c_lat,c_lon
1,011900,40.757,-73.986
1,012500,40.76,-73.984
1,029300,40.866,-73.92
3,020000,40.621,-74.009
3,020200,40.622,-74.011
2,015800,40.825,-73.819
2,015200,40.826,-73.825
3,083400,40.642,-73.938
3,085400,40.645,-73.943
2,022403,40.856,-73.865
2,044800,40.895,-73.841
2,034400,40.868,-73.857
3,025901,40.695,-73.946
3,025902,40.697,-73.945
2,022404,40.853,-73.866
4,094700,40.786,-73.841
3,098200,40.651,-73.894
4,140300,40.748,-73.77
4,061302,40.709,-73.883
4,062300,40.704,-73.878
4,062500,40.704,-73.882
4,074500,40.736,-73.851
4,114100,40.769,-73.797
4,045000,40.714,-73.805
4,122300,40.735,-73.799
4,134100,40.735,-73.791
2,033201,40.859,-73.869
4,015200,40.694,-73.814
4,004700,40.76,-73.933
3,111800,40.669,-73.876
4,092500,40.782,-73.845
3,076600,40.633,-73.957
1,012000,40.767,-73.965
3,052900,40.706,-73.955
4,045600,40.717,-73.794
2,021100,40.84,-73.924
4,050500,40.729,-73.875
2,022800,40.853,-73.864
2,027300,40.874,-73.903
2,042000,40.893,-73.86
2,040800,40.89,-73.862
3,025700,40.698,-73.947
2,026701,40.869,-73.901
4,063301,40.704,-73.875
2,024400,40.846,-73.858
4,086500,40.763,-73.825
4,104700,40.775,-73.82
4,115900,40.769,-73.821
2,022703,40.844,-73.91
2,022702,40.845,-73.913
5,017009,40.543,-74.19
1,015001,40.78,-73.959
4,004500,40.765,-73.934
4,005300,40.76,-73.929
3,117400,40.683,-73.88
3,117601,40.685,-73.877
3,003600,40.635,-74.031
3,006800,40.635,-74.026
4,005700,40.757,-73.926
4,054800,40.723,-73.751
4,047300,40.737,-73.876
2,030000,40.852,-73.831
4,015700,40.755,-73.922
3,013500,40.673,-73.983
3,051100,40.708,-73.949
3,016900,40.659,-73.981
1,022600,40.813,-73.945
3,102200,40.636,-73.89
1,005501,40.728,-73.997
1,020800,40.81,-73.942
3,053700,40.7,-73.96
2,026500,40.866,-73.9
3,042200,40.607,-73.97
3,043800,40.61,-73.971
